id,RUL
1,191
2,190
3,189
4,188
5,187
6,186
7,185
8,184
9,183
10,182
11,181
12,180
13,179
14,178
15,177
16,176
17,175
18,174
19,173
20,172
21,171
22,170
23,169
24,168
25,167
26,166
27,165
28,164
29,163
30,162
31,161
32,160
33,159
34,158
35,157
36,156
37,155
38,154
39,153
40,152
41,151
42,150
43,149
44,148
45,147
46,146
47,145
48,144
49,143
50,142
51,141
52,140
53,139
54,138
55,137
56,136
57,135
58,134
59,133
60,132
61,131
62,130
63,129
64,128
65,127
66,126
67,125
68,124
69,123
70,122
71,121
72,120
73,119
74,118
75,117
76,116
77,115
78,114
79,113
80,112
81,111
82,110
83,109
84,108
85,107
86,106
87,105
88,104
89,103
90,102
91,101
92,100
93,99
94,98
95,97
96,96
97,95
98,94
99,93
100,92
101,91
102,90
103,89
104,88
105,87
106,86
107,85
108,84
109,83
110,82
111,81
112,80
113,79
114,78
115,77
116,76
117,75
118,74
119,73
120,72
121,71
122,70
123,69
124,68
125,67
126,66
127,65
128,64
129,63
130,62
131,61
132,60
133,59
134,58
135,57
136,56
137,55
138,54
139,53
140,52
141,51
142,50
143,49
144,48
145,47
146,46
147,45
148,44
149,43
150,42
151,41
152,40
153,39
154,38
155,37
156,36
157,35
158,34
159,33
160,32
161,31
162,30
163,29
164,28
165,27
166,26
167,25
168,24
169,23
170,22
171,21
172,20
173,19
174,18
175,17
176,16
177,15
178,14
179,13
180,12
181,11
182,10
183,9
184,8
185,7
186,6
187,5
188,4
189,3
190,2
191,1
192,0
193,286
194,285
195,284
196,283
197,282
198,281
199,280
200,279
201,278
202,277
203,276
204,275
205,274
206,273
207,272
208,271
209,270
210,269
211,268
212,267
213,266
214,265
215,264
216,263
217,262
218,261
219,260
220,259
221,258
222,257
223,256
224,255
225,254
226,253
227,252
228,251
229,250
230,249
231,248
232,247
233,246
234,245
235,244
236,243
237,242
238,241
239,240
240,239
241,238
242,237
243,236
244,235
245,234
246,233
247,232
248,231
249,230
250,229
251,228
252,227
253,226
254,225
255,224
256,223
257,222
258,221
259,220
260,219
261,218
262,217
263,216
264,215
265,214
266,213
267,212
268,211
269,210
270,209
271,208
272,207
273,206
274,205
275,204
276,203
277,202
278,201
279,200
280,199
281,198
282,197
283,196
284,195
285,194
286,193
287,192
288,191
289,190
290,189
291,188
292,187
293,186
294,185
295,184
296,183
297,182
298,181
299,180
300,179
301,178
302,177
303,176
304,175
305,174
306,173
307,172
308,171
309,170
310,169
311,168
312,167
313,166
314,165
315,164
316,163
317,162
318,161
319,160
320,159
321,158
322,157
323,156
324,155
325,154
326,153
327,152
328,151
329,150
330,149
331,148
332,147
333,146
334,145
335,144
336,143
337,142
338,141
339,140
340,139
341,138
342,137
343,136
344,135
345,134
346,133
347,132
348,131
349,130
350,129
351,128
352,127
353,126
354,125
355,124
356,123
357,122
358,121
359,120
360,119
361,118
362,117
363,116
364,115
365,114
366,113
367,112
368,111
369,110
370,109
371,108
372,107
373,106
374,105
375,104
376,103
377,102
378,101
379,100
380,99
381,98
382,97
383,96
384,95
385,94
386,93
387,92
388,91
389,90
390,89
391,88
392,87
393,86
394,85
395,84
396,83
397,82
398,81
399,80
400,79
401,78
402,77
403,76
404,75
405,74
406,73
407,72
408,71
409,70
410,69
411,68
412,67
413,66
414,65
415,64
416,63
417,62
418,61
419,60
420,59
421,58
422,57
423,56
424,55
425,54
426,53
427,52
428,51
429,50
430,49
431,48
432,47
433,46
434,45
435,44
436,43
437,42
438,41
439,40
440,39
441,38
442,37
443,36
444,35
445,34
446,33
447,32
448,31
449,30
450,29
451,28
452,27
453,26
454,25
455,24
456,23
457,22
458,21
459,20
460,19
461,18
462,17
463,16
464,15
465,14
466,13
467,12
468,11
469,10
470,9
471,8
472,7
473,6
474,5
475,4
476,3
477,2
478,1
479,0
480,178
481,177
482,176
483,175
484,174
485,173
486,172
487,171
488,170
489,169
490,168
491,167
492,166
493,165
494,164
495,163
496,162
497,161
498,160
499,159
500,158
501,157
502,156
503,155
504,154
505,153
506,152
507,151
508,150
509,149
510,148
511,147
512,146
513,145
514,144
515,143
516,142
517,141
518,140
519,139
520,138
521,137
522,136
523,135
524,134
525,133
526,132
527,131
528,130
529,129
530,128
531,127
532,126
533,125
534,124
535,123
536,122
537,121
538,120
539,119
540,118
541,117
542,116
543,115
544,114
545,113
546,112
547,111
548,110
549,109
550,108
551,107
552,106
553,105
554,104
555,103
556,102
557,101
558,100
559,99
560,98
561,97
562,96
563,95
564,94
565,93
566,92
567,91
568,90
569,89
570,88
571,87
572,86
573,85
574,84
575,83
576,82
577,81
578,80
579,79
580,78
581,77
582,76
583,75
584,74
585,73
586,72
587,71
588,70
589,69
590,68
591,67
592,66
593,65
594,64
595,63
596,62
597,61
598,60
599,59
600,58
601,57
602,56
603,55
604,54
605,53
606,52
607,51
608,50
609,49
610,48
611,47
612,46
613,45
614,44
615,43
616,42
617,41
618,40
619,39
620,38
621,37
622,36
623,35
624,34
625,33
626,32
627,31
628,30
629,29
630,28
631,27
632,26
633,25
634,24
635,23
636,22
637,21
638,20
639,19
640,18
641,17
642,16
643,15
644,14
645,13
646,12
647,11
648,10
649,9
650,8
651,7
652,6
653,5
654,4
655,3
656,2
657,1
658,0
659,188
660,187
661,186
662,185
663,184
664,183
665,182
666,181
667,180
668,179
669,178
670,177
671,176
672,175
673,174
674,173
675,172
676,171
677,170
678,169
679,168
680,167
681,166
682,165
683,164
684,163
685,162
686,161
687,160
688,159
689,158
690,157
691,156
692,155
693,154
694,153
695,152
696,151
697,150
698,149
699,148
700,147
701,146
702,145
703,144
704,143
705,142
706,141
707,140
708,139
709,138
710,137
711,136
712,135
713,134
714,133
715,132
716,131
717,130
718,129
719,128
720,127
721,126
722,125
723,124
724,123
725,122
726,121
727,120
728,119
729,118
730,117
731,116
732,115
733,114
734,113
735,112
736,111
737,110
738,109
739,108
740,107
741,106
742,105
743,104
744,103
745,102
746,101
747,100
748,99
749,98
750,97
751,96
752,95
753,94
754,93
755,92
756,91
757,90
758,89
759,88
760,87
761,86
762,85
763,84
764,83
765,82
766,81
767,80
768,79
769,78
770,77
771,76
772,75
773,74
774,73
775,72
776,71
777,70
778,69
779,68
780,67
781,66
782,65
783,64
784,63
785,62
786,61
787,60
788,59
789,58
790,57
791,56
792,55
793,54
794,53
795,52
796,51
797,50
798,49
799,48
800,47
801,46
802,45
803,44
804,43
805,42
806,41
807,40
808,39
809,38
810,37
811,36
812,35
813,34
814,33
815,32
816,31
817,30
818,29
819,28
820,27
821,26
822,25
823,24
824,23
825,22
826,21
827,20
828,19
829,18
830,17
831,16
832,15
833,14
834,13
835,12
836,11
837,10
838,9
839,8
840,7
841,6
842,5
843,4
844,3
845,2
846,1
847,0
848,268
849,267
850,266
851,265
852,264
853,263
854,262
855,261
856,260
857,259
858,258
859,257
860,256
861,255
862,254
863,253
864,252
865,251
866,250
867,249
868,248
869,247
870,246
871,245
872,244
873,243
874,242
875,241
876,240
877,239
878,238
879,237
880,236
881,235
882,234
883,233
884,232
885,231
886,230
887,229
888,228
889,227
890,226
891,225
892,224
893,223
894,222
895,221
896,220
897,219
898,218
899,217
900,216
901,215
902,214
903,213
904,212
905,211
906,210
907,209
908,208
909,207
910,206
911,205
912,204
913,203
914,202
915,201
916,200
917,199
918,198
919,197
920,196
921,195
922,194
923,193
924,192
925,191
926,190
927,189
928,188
929,187
930,186
931,185
932,184
933,183
934,182
935,181
936,180
937,179
938,178
939,177
940,176
941,175
942,174
943,173
944,172
945,171
946,170
947,169
948,168
949,167
950,166
951,165
952,164
953,163
954,162
955,161
956,160
957,159
958,158
959,157
960,156
961,155
962,154
963,153
964,152
965,151
966,150
967,149
968,148
969,147
970,146
971,145
972,144
973,143
974,142
975,141
976,140
977,139
978,138
979,137
980,136
981,135
982,134
983,133
984,132
985,131
986,130
987,129
988,128
989,127
990,126
991,125
992,124
993,123
994,122
995,121
996,120
997,119
998,118
999,117
1000,116
1001,115
1002,114
1003,113
1004,112
1005,111
1006,110
1007,109
1008,108
1009,107
1010,106
1011,105
1012,104
1013,103
1014,102
1015,101
1016,100
1017,99
1018,98
1019,97
1020,96
1021,95
1022,94
1023,93
1024,92
1025,91
1026,90
1027,89
1028,88
1029,87
1030,86
1031,85
1032,84
1033,83
1034,82
1035,81
1036,80
1037,79
1038,78
1039,77
1040,76
1041,75
1042,74
1043,73
1044,72
1045,71
1046,70
1047,69
1048,68
1049,67
1050,66
1051,65
1052,64
1053,63
1054,62
1055,61
1056,60
1057,59
1058,58
1059,57
1060,56
1061,55
1062,54
1063,53
1064,52
1065,51
1066,50
1067,49
1068,48
1069,47
1070,46
1071,45
1072,44
1073,43
1074,42
1075,41
1076,40
1077,39
1078,38
1079,37
1080,36
1081,35
1082,34
1083,33
1084,32
1085,31
1086,30
1087,29
1088,28
1089,27
1090,26
1091,25
1092,24
1093,23
1094,22
1095,21
1096,20
1097,19
1098,18
1099,17
1100,16
1101,15
1102,14
1103,13
1104,12
1105,11
1106,10
1107,9
1108,8
1109,7
1110,6
1111,5
1112,4
1113,3
1114,2
1115,1
1116,0
1117,187
1118,186
1119,185
1120,184
1121,183
1122,182
1123,181
1124,180
1125,179
1126,178
1127,177
1128,176
1129,175
1130,174
1131,173
1132,172
1133,171
1134,170
1135,169
1136,168
1137,167
1138,166
1139,165
1140,164
1141,163
1142,162
1143,161
1144,160
1145,159
1146,158
1147,157
1148,156
1149,155
1150,154
1151,153
1152,152
1153,151
1154,150
1155,149
1156,148
1157,147
1158,146
1159,145
1160,144
1161,143
1162,142
1163,141
1164,140
1165,139
1166,138
1167,137
1168,136
1169,135
1170,134
1171,133
1172,132
1173,131
1174,130
1175,129
1176,128
1177,127
1178,126
1179,125
1180,124
1181,123
